key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
0,"",,0,
1,"Schlüsselgegenstand",,0,
2,"Interaktion",,0,
3,"Sprint",,600,
4,"Reittier",,0,
5,"Teleport",,0,
6,"Rückführung",,9000,
7,"Attacke",,0,
8,"Schießen",,0,
9,"Vortexschnitt",,25,
10,"Schutzwall",,900,
11,"Schurkenschwert",,25,
12,"Konvaleszenz",,1200,
13,"Achtsamkeit",,1200,
14,"Blitzlicht",魔法,25,
15,"Donnerklinge",,25,
16,"Schildschlag",,25,
17,"Sentinel",,1200,
18,"Herausforderung",,150,
19,"Eherner Wille",,1800,
20,"Verwegenheit",,600,
21,"Halones Groll",,25,
22,"Bollwerk",,900,
23,"Kreis der Verachtung",,300,
24,"Schildwurf",,25,
25,"Kollision",,150,
26,"Schwert-Eid",,25,
27,"Deckung",,1200,
28,"Schild-Eid",,20,
29,"Selbsterhaltungstrieb",,300,
30,"Heiliger Boden",,4200,
31,"Gewaltiger Hieb",,25,
32,"Vorahnung",,1200,
33,"Knochenbrecher",,25,
34,"Blutbad",,900,
35,"Schädelspalter",,25,
36,"Gnadenstoß",,900,
37,"Verstümmelung",,25,
38,"Tollwut",,600,
39,"Rohe Gewalt",,200,
40,"Kampfrausch",,900,
41,"Kahlrodung",,25,
42,"Sturmkeil",,25,
43,"Holmgang",,2400,
44,"Rachsucht",,1200,
45,"Sturmbrecher",,25,
46,"Tomahawk",,25,
47,"Fleischerbeil",,25,
48,"Verteidiger",,20,
49,"Tier in dir",,25,
50,"Entfesselt",,900,
51,"Kreiselklinge",,25,
52,"Schlachtruf",,600,
53,"Schlag auf Schlag",,25,
54,"Wahrer Schlag",,25,
55,"Leichtfuß",,900,
56,"Peitschenhieb",,25,
57,"Chakra",,1200,
58,"Aufwärtshaken",,25,
59,"Innere Gelöstheit",,600,
60,"Steinerne Aura",,30,
61,"Doppelviper",,25,
62,"Arm des Zerstörers",,25,
63,"Sengende Aura",,30,
64,"Stahlzinnen",,400,
65,"Mantra",,900,
66,"Demolieren",,25,
67,"Heulende Faust",,600,
68,"Hauch des Todes",,25,
69,"Improvisation",,400,
70,"Erdspaltung",,25,
71,"Rakshasas Umarmung",,300,
72,"Ein-Ilm-Schlag",,25,
73,"Beflügelnde Aura",,30,
74,"Drachentritt",,25,
75,"Sauberer Stoß",,25,
76,"Finte",,25,
77,"Auge des Sturms",,900,
78,"Vorpalstoß",,25,
79,"Gewaltiger Stoß",,25,
80,"Ungestüm",,1200,
81,"Pfähler",,25,
82,"Beinfeger",,300,
83,"Vitalwallung",,400,
84,"Ungebremster Stoß",,25,
85,"Lanzenschärfung",,600,
86,"Schicksalsdorn",,25,
87,"Drachengriff",,25,
88,"Chaotischer Tjost",,25,
89,"Dornenkranz",,25,
90,"Reißende Klauen",,25,
91,"Phlebotomie",,25,
92,"Sprung",,300,
93,"Drachenklaue",,600,
94,"Ausweichsprung",,300,
95,"Wirbelsprenger",,600,
96,"Wyrmodem",,1200,
97,"Gewaltiger Schuss",,25,
98,"Direkter Schuss",,25,
99,"Falkenauge",,900,
100,"Giftbiss",,25,
101,"Wütende Attacke",,1200,
102,"Flammenpfeil",,600,
103,"Ende des Leids",,120,
104,"Ablenkung",,1200,
105,"Schmissiger Song",魔法,25,
106,"Pfeilsalve",,25,
107,"Sperrfeuer",,1200,
108,"Schattenfessel",,400,
109,"Stumpfer Pfeil",,300,
110,"Aderlass",,150,
111,"Sternenhagel",,25,
112,"Mannstopper",,300,
113,"Beißender Wind",,25,
114,"Ballade des Weisen",魔法,1200,
115,"Requiem der Feinde",魔法,25,
116,"Hymne der Krieger",魔法,1200,
117,"Tödlicher Regen",,150,
118,"Ode an die Seele",,1200,
119,"Stein",魔法,25,
120,"Vita",魔法,25,
121,"Wind",魔法,25,
122,"Bußprediger",,50,
123,"Protes",魔法,25,
124,"Reseda",魔法,25,
125,"Wiederbeleben",魔法,25,
126,"Medica",魔法,25,
127,"Steinra",魔法,25,
128,"Schlummer",魔法,25,
129,"Steinhaut",魔法,25,
130,"Fispelstimme",,1200,
131,"Vitaga",魔法,25,
132,"Windra",魔法,25,
133,"Resedra",魔法,25,
134,"Wasserstrahl",魔法,300,
135,"Vitra",魔法,25,
136,"Geistesgegenwart",,1200,
137,"Regena",魔法,25,
138,"Göttliches Siegel",,600,
139,"Sanctus",魔法,25,
140,"Benediktion",,1800,
141,"Feuer",魔法,25,
142,"Eis",魔法,25,
143,"Unbeirrbarkeit",,300,
144,"Blitz",魔法,25,
145,"Schlaf",魔法,25,
146,"Eisra",魔法,25,
147,"Feura",魔法,25,
148,"Blitzra",魔法,25,
149,"Transposition",,50,
150,"Spontaneität",,600,
151,"Lethargie",魔法,300,
152,"Feuga",魔法,25,
153,"Blitzga",魔法,25,
154,"Eisga",魔法,25,
155,"Äthermanipulation",,100,
156,"Kollaps",魔法,25,
157,"Mana-Schild",,1200,
158,"Mana-Brunnen",,1200,
159,"Einfrieren",魔法,25,
160,"Apokatastasis",,1800,
161,"Mana-Wand",,1200,
162,"Flare",魔法,25,
163,"Ruin",魔法,25,
164,"Bio",魔法,25,
165,"Familiar",魔法,30,
166,"Ätherfluss",,600,
167,"Energieentzug",魔法,10,
168,"Miasma",魔法,25,
169,"Virus",魔法,900,
170,"Familiar II",魔法,30,
171,"Erhaltung",魔法,25,
172,"Ruinra",魔法,25,
173,"Resuszitation",魔法,25,
174,"Bann",魔法,100,
175,"Auge um Auge",,1800,
176,"Aufmuntern",魔法,600,
177,"Miasra",魔法,25,
178,"Biora",魔法,25,
179,"Schattenflamme",魔法,600,
180,"Familiar III",魔法,30,
181,"Schwäre",魔法,10,
182,"Tri-Fessel",魔法,25,
183,"Ansporn",,1200,
184,"Entflammung",,1800,
185,"Adloquium",魔法,25,
186,"Kurieren",魔法,25,
187,"Lustration",魔法,25,
188,"Geweihte Erde",,300,
189,"Revitalisierung",,10,
190,"Physick",魔法,25,
191,"Steinrahaut",魔法,25,
192,"",魔法,0,
193,"",,0,
194,"",,0,
195,"",,0,
196,"反撃効果",,0,
197,"Schutzschild",リミットブレイク,0,
198,"Bastion",リミットブレイク,0,
199,"Letzte Bastion",リミットブレイク,0,
200,"Mutangriff",リミットブレイク,0,
201,"Schwertertanz",リミットブレイク,0,
202,"Endgültiger Himmel",リミットブレイク,0,
203,"Himmelsscherbe",リミットブレイク,0,
204,"Sternensturm",リミットブレイク,0,
205,"Meteor",リミットブレイク,0,
206,"Heilender Wind",リミットブレイク,0,
207,"Atem der Erde",リミットブレイク,0,
208,"Lebenspuls",リミットブレイク,0,
209,"Limitrausch",魔法,0,
210,"Geodäsie",,0,
211,"Ruf des Waldes",,200,
212,"Coeurl-Pfoten",,0,
213,"Vorausplanung",,0,
214,"Pioniergeist",,0,
215,"Bauernschläue",,0,
216,"Axt im Wald",,0,
217,"Nophicas Segen",,0,
218,"Meister der Felder",,0,
219,"Byregots Segen",,0,
220,"Meister der Felder II",,0,
221,"Flurenthüllung",,0,
222,"Gesegnete Ernte",,0,
223,"",斬,0,
224,"Gesegnete Ernte II",,0,
225,"Höhere Ziele",,0,
226,"Höhere Ziele II",,0,
227,"Prospektion",,0,
228,"Bodenbefund",,200,
229,"Coeurl-Pfoten",,0,
230,"Vorausplanung",,0,
231,"Mineralogie",,0,
232,"Felsenfeste Überzeugung",,0,
233,"Perfektionist",,0,
234,"Nald'thals Segen",,0,
235,"Scharfer Blick",,0,
236,"Menphinas Segen",,0,
237,"Scharfer Blick II",,0,
238,"Tellurische Enthüllung",,0,
239,"Fürstlicher Ertrag",,0,
240,"Sammeln",,0,
241,"Fürstlicher Ertrag II",,0,
242,"Exkavieren",,0,
243,"Exkavieren II",,0,
244,"Ruhige Hand",,0,
245,"Ruhige Hand",,0,
246,"Ruhige Hand",,0,
247,"Ruhige Hand",,0,
248,"Ruhige Hand",,0,
249,"Ruhige Hand",,0,
250,"Ruhige Hand",,0,
251,"Ruhige Hand",,0,
252,"Innere Ruhe",,0,
253,"Innere Ruhe",,0,
254,"Innere Ruhe",,0,
255,"Innere Ruhe",,0,
256,"Innere Ruhe",,0,
257,"Innere Ruhe",,0,
258,"Innere Ruhe",,0,
259,"Innere Ruhe",,0,
260,"Große Schritte",,0,
261,"Große Schritte",,0,
262,"Große Schritte",,0,
263,"Große Schritte",,0,
264,"Große Schritte",,0,
265,"Große Schritte",,0,
266,"Große Schritte",,0,
267,"Große Schritte",,0,
268,"Naturköder II",,1800,
269,"Doppelhaken",,0,
270,"Exkavieren III",,0,
271,"Höhere Ziele III",,0,
272,"Reiche Ausbeute II",,0,
273,"Reiche Ernte II",,0,
274,"Nald'thals Führung",,0,
275,"Nophicas Führung",,0,
276,"Nachsinnen",,0,
277,"Einfallsreichtum",,0,
278,"Manipulation",,0,
279,"Nachhaltigkeit",,0,
280,"Gunst der Zwölf",,0,
281,"Ruhige Hand II",,0,
282,"Gunst der Zwölf",,0,
283,"Einfallsreichtum II",,0,
284,"Innovation",,0,
