key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
0,"",,0,
1,"Key Item",,0,
2,"Interaction",,0,
3,"Sprint",,600,
4,"Mount",,0,
5,"Teleport",,0,
6,"Return",,9000,
7,"attack",,0,
8,"Shot",,0,
9,"Fast Blade",,25,
10,"Rampart",,900,
11,"Savage Blade",,25,
12,"Convalescence",,1200,
13,"Awareness",,1200,
14,"Flash",魔法,25,
15,"Riot Blade",,25,
16,"Shield Bash",,25,
17,"Sentinel",,1200,
18,"Provoke",,150,
19,"Tempered Will",,1800,
20,"Fight or Flight",,600,
21,"Rage of Halone",,25,
22,"Bulwark",,900,
23,"Circle of Scorn",,300,
24,"Shield Lob",,25,
25,"Shield Swipe",,150,
26,"Sword Oath",,25,
27,"Cover",,1200,
28,"Iron Will",,20,
29,"Spirits Within",,300,
30,"Hallowed Ground",,4200,
31,"Heavy Swing",,25,
32,"Foresight",,1200,
33,"Fracture",,25,
34,"Bloodbath",,900,
35,"Skull Sunder",,25,
36,"Mercy Stroke",,900,
37,"Maim",,25,
38,"Berserk",,600,
39,"Brutal Swing",,200,
40,"Thrill of Battle",,900,
41,"Overpower",,25,
42,"Storm's Path",,25,
43,"Holmgang",,2400,
44,"Vengeance",,1200,
45,"Storm's Eye",,25,
46,"Tomahawk",,25,
47,"Butcher's Block",,25,
48,"Defiance",,20,
49,"Inner Beast",,25,
50,"Unchained",,900,
51,"Steel Cyclone",,25,
52,"Infuriate",,600,
53,"Bootshine",,25,
54,"True Strike",,25,
55,"Featherfoot",,900,
56,"Snap Punch",,25,
57,"Second Wind",,1200,
58,"Haymaker",,25,
59,"Internal Release",,600,
60,"Fists of Earth",,30,
61,"Twin Snakes",,25,
62,"Arm of the Destroyer",,25,
63,"Fists of Fire",,30,
64,"Steel Peak",,400,
65,"Mantra",,900,
66,"Demolish",,25,
67,"Howling Fist",,600,
68,"Touch of Death",,25,
69,"Perfect Balance",,400,
70,"Rockbreaker",,25,
71,"Shoulder Tackle",,300,
72,"One Ilm Punch",,25,
73,"Fists of Wind",,30,
74,"Dragon Kick",,25,
75,"True Thrust",,25,
76,"Feint",,25,
