key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
0,"",,0,
1,"Objet-clef",,0,
2,"Interaction",,0,
3,"Sprint",,600,
4,"Monture",,0,
5,"Téléportation",,0,
6,"Rapatriement",,9000,
7,"Attaque",,0,
8,"Tir à l'arc",,0,
9,"Lame rapide",,25,
10,"Rempart",,900,
11,"Lame sauvage",,25,
12,"Convalescence",,1200,
13,"Diligence",,1200,
14,"Flash",magie,25,
15,"Lame déchaînée",,25,
16,"Coup de bouclier",,25,
17,"Sentinelle",,1200,
18,"Provocation",,150,
19,"Volonté d'acier",,1800,
20,"Combat acharné",,600,
21,"Rage de Halone",,25,
22,"Forteresse",,900,
23,"Cercle du destin",,300,
24,"Lancer de bouclier",,25,
25,"Riposte du bouclier",,150,
26,"Serment de l'épée",,25,
27,"Couverture",,1200,
28,"Volonté de fer",,20,
29,"Esprits intérieurs",,300,
30,"Invincible",,4200,
31,"Coup puissant",,25,
32,"Aguet",,1200,
33,"Fracture",,25,
34,"Bain de sang",,900,
35,"Brise-crâne",,25,
36,"Coup de grâce",,900,
37,"Mutilation",,25,
38,"Berserk",,600,
39,"Swing brutal",,200,
40,"Frisson de la bataille",,900,
41,"Domination",,25,
42,"Couperet de justice",,25,
43,"Holmgang",,2400,
44,"Représailles",,1200,
45,"Œil de la tempête",,25,
46,"Tomahawk",,25,
47,"Billot du boucher",,25,
48,"Défi",,20,
49,"Bête intérieure",,25,
50,"Affranchissement",,900,
51,"Cyclone de fer",,25,
52,"Cri de guerre",,600,
53,"Volée de coups",,25,
54,"Coup de poing direct",,25,
55,"Pieds légers",,900,
56,"Coup de poing brusque",,25,
57,"Second souffle",,1200,
58,"Haymaker",,25,
59,"Relâchement intérieur",,600,
60,"Poings de terre",,30,
61,"Serpents jumeaux",,25,
62,"Frappe du Destructeur",,25,
63,"Poings de feu",,30,
64,"Charge d'acier",,400,
65,"Mantra",,900,
66,"Démolition",,25,
67,"Poing hurlant",,600,
68,"Toucher mortel",,25,
69,"Équilibre parfait",,400,
70,"Briseur de rocs",,25,
71,"Coup d'épaule",,300,
72,"Coup foudroyant",,25,
73,"Poings de vent",,30,
74,"Tacle du dragon",,25,
75,"Percée véritable",,25,
76,"Feinte",,25,
77,"Volée défensive",,900,
78,"Percée vorpale",,25,
79,"Percée puissante",,25,
80,"Motivation",,1200,
81,"Pulsion",,25,
82,"Balayette",,300,
83,"Souffle de vie",,400,
84,"Percée totale",,25,
85,"Lance acérée",,600,
86,"Pointe du destin",,25,
87,"Éventration",,25,
88,"Percée chaotique",,25,
89,"Anneau de ronces",,25,
90,"Griffe perçante",,25,
91,"Double percée",,25,
92,"Saut",,300,
93,"Souffle de puissance",,600,
94,"Saut insaisissable",,300,
95,"Piqué brise-échine",,600,
96,"Piqué du dragon",,1200,
97,"Tir à l'arc puissant",,25,
98,"Tir droit",,25,
99,"Œil de faucon",,900,
100,"Morsure venimeuse",,25,
101,"Tir furieux",,1200,
102,"Flèche enflammée",,600,
103,"Achèvement",,120,
104,"Frappe silencieuse",,1200,
105,"Chant rapide",magie,25,
106,"Salve fulgurante",,25,
107,"Rafale de coups",,1200,
108,"Entrave d'ombre",,400,
109,"Flèche traumatisante",,300,
110,"Hémorragie",,150,
111,"Rafale impitoyable",,25,
112,"Tir repoussant",,300,
113,"Morsure du vent",,25,
114,"Ballade du mage",magie,1200,
115,"Requiem ennemi",magie,25,
116,"Péan martial",magie,1200,
117,"Pluie mortelle",,150,
118,"Voix de combat",,1200,
119,"Terre",magie,25,
120,"Soin",magie,25,
121,"Vent",magie,25,
122,"Prestance du prêtre",,50,
123,"Bouclier",magie,25,
124,"Médica",magie,25,
125,"Vie",magie,25,
126,"Guérison",magie,25,
127,"Extra Terre",magie,25,
128,"Sérénité",magie,25,
129,"Cuirasse",magie,25,
130,"Voile des saints",,1200,
