key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
0,"",,0,
1,"イベントアイテム",,0,
2,"イベントアクション",,0,
3,"スプリント",,600,
4,"マウント",,0,
5,"テレポ",,0,
6,"デジョン",,9000,
7,"攻撃",,0,
8,"ショット",,0,
9,"ファストブレード",,25,
10,"ランパート",,900,
11,"サベッジブレード",,25,
12,"コンバレセンス",,1200,
13,"アウェアネス",,1200,
14,"フラッシュ",魔法,25,
15,"ライオットソード",,25,
16,"シールドバッシュ",,25,
17,"センチネル",,1200,
18,"挑発",,150,
19,"鋼の意志",,1800,
20,"ファイト・オア・フライト",,600,
21,"レイジ・オブ・ハルオーネ",,25,
22,"ブルワーク",,900,
23,"サークル・オブ・ドゥーム",,300,
24,"シールドロブ",,25,
25,"シールドスワイプ",,150,
26,"忠義の剣",,25,
27,"かばう",,1200,
28,"アイアンウィル",,20,
29,"スピリッツウィズイン",,300,
30,"インビンシブル",,4200,
31,"ヘヴィスウィング",,25,
32,"フォーサイト",,1200,
33,"フラクチャー",,25,
34,"ブラッドバス",,900,
35,"スカルサンダー",,25,
36,"マーシーストローク",,900,
37,"メイム",,25,
38,"バーサク",,600,
39,"ブルータルスウィング",,200,
40,"スリル・オブ・バトル",,900,
41,"オーバーパワー",,25,
42,"シュトルムヴィント",,25,
43,"ホルムギャング",,2400,
44,"ヴェンジェンス",,1200,
45,"シュトルムブレハ",,25,
46,"トマホーク",,25,
47,"ボーラアクス",,25,
48,"ディフェンダー",,20,
49,"原初の魂",,25,
50,"アンチェインド",,900,
51,"スチールサイクロン",,25,
52,"ウォークライ",,600,
53,"連撃",,25,
54,"正拳突き",,25,
55,"フェザーステップ",,900,
56,"崩拳",,25,
57,"内丹",,1200,
58,"カウンター",,25,
59,"発勁",,600,
60,"金剛の構え",,30,
61,"双掌打",,25,
62,"壊神衝",,25,
63,"紅蓮の構え",,30,
64,"鉄山靠",,400,
65,"マントラ",,900,
66,"破砕拳",,25,
67,"空鳴拳",,600,
68,"秘孔拳",,25,
69,"踏鳴",,400,
70,"地烈斬",,25,
71,"羅刹衝",,300,
72,"短勁",,25,
73,"疾風の構え",,30,
74,"双竜脚",,25,
75,"トゥルースラスト",,25,
76,"フェイント",,25,
77,"キーンフラーリ",,900,
78,"ボーパルスラスト",,25,
79,"ヘヴィスラスト",,25,
80,"気合",,1200,
81,"インパルスドライヴ",,25,
82,"足払い",,300,
83,"ライフサージ",,400,
84,"フルスラスト",,25,
85,"ランスチャージ",,600,
86,"ドゥームスパイク",,25,
87,"ディセムボウル",,25,
88,"桜華狂咲",,25,
