key,0,1,2
#,Name,AttackType,Recast<100ms>
int32,str,int32,int32
0,"",,0,
1,"任務道具",,0,
2,"任務指令",,0,
3,"衝刺",,600,
4,"坐騎",,0,
5,"傳送",,0,
6,"返回",,9000,
7,"攻擊",,0,
8,"射擊",,0,
9,"先鋒劍",,25,
10,"鐵壁",,900,
11,"狂怒劍",,25,
12,"漸癒",,1200,
13,"警覺",,1200,
14,"閃光",魔法,25,
15,"暴亂劍",,25,
16,"盾牌猛擊",,25,
17,"預警",,1200,
18,"挑釁",,150,
19,"鋼鐵意志",,1800,
20,"戰逃反應",,600,
21,"戰女神之怒",,25,
22,"壁壘",,900,
23,"厄運流轉",,300,
24,"投盾",,25,
25,"盾牌重擊",,150,
26,"忠義之劍",,25,
27,"保護",,1200,
28,"鋼鐵信念",,20,
29,"深奧之靈",,300,
30,"神聖領域",,4200,
31,"重劈",,25,
32,"預見",,1200,
33,"碎骨打",,25,
34,"浴血",,900,
35,"裂骨斬",,25,
36,"慈悲殺",,900,
37,"凶殘裂",,25,
38,"狂暴",,600,
39,"殘暴斧",,200,
40,"戰慄",,900,
41,"超壓斧",,25,
42,"暴風斬",,25,
43,"死鬥",,2400,
44,"復仇",,1200,
45,"暴風碎",,25,
46,"飛斧",,25,
47,"寒風斧",,25,
48,"守護",,20,
49,"原初之魂",,25,
50,"解脫",,900,
51,"鋼鐵旋風",,25,
52,"戰嚎",,600,
53,"連擊",,25,
54,"正拳",,25,
55,"飄羽步",,900,
56,"崩拳",,25,
57,"內丹",,1200,
58,"反擊",,25,
59,"發勁",,600,
60,"金剛體勢",,30,
61,"雙掌打",,25,
62,"破壞神衝",,25,
63,"紅蓮體勢",,30,
64,"鐵山靠",,400,
65,"真言",,900,
66,"破碎拳",,25,
67,"空鳴拳",,600,
68,"秘孔拳",,25,
69,"震腳",,400,
70,"地烈勁",,25,
71,"羅剎衝",,300,
72,"短勁",,25,
73,"疾風體勢",,30,
74,"雙龍腳",,25,
75,"精準刺",,25,
76,"虛槍",,25,
77,"敏銳",,900,
78,"貫通刺",,25,
79,"重刺",,25,
80,"運氣",,1200,
81,"脈衝槍",,25,
82,"掃堂腿",,300,
83,"龍劍",,400,
84,"直刺",,25,
85,"猛槍",,600,
86,"死天槍",,25,
87,"開膛槍",,25,
88,"櫻花怒放",,25,
89,"荊棘環刺",,25,
90,"貫穿尖",,25,
91,"二段突刺",,25,
92,"跳躍",,300,
93,"龍槍",,600,
94,"迴避跳躍",,300,
95,"破碎衝",,600,
96,"龍炎衝",,1200,
97,"強力射擊",,25,
98,"直線射擊",,25,
99,"鷹眼",,900,
100,"毒咬箭",,25,
101,"猛者強擊",,1200,
102,"烈火箭",,600,
103,"惡終箭",,120,
104,"靜者強擊",,1200,
105,"敏捷之歌",魔法,25,
106,"連珠箭",,25,
107,"紛亂箭",,1200,
108,"定影箭",,400,
109,"遲鈍箭",,300,
110,"失血箭",,150,
111,"廣域群射",,25,
112,"後躍射擊",,300,
113,"風蝕箭",,25,
114,"賢者的敘事謠",魔法,1200,
115,"魔人的鎮魂歌",魔法,25,
