key,0
#,Name
int32,str
0,""
1,"Petrification"
2,"Stun"
3,"Sleep"
4,"Daze"
5,"Amnesia"
6,"Pacification"
7,"Silence"
8,"Haste"
9,"Slow"
10,"Slow"
11,"Confused"
12,"Levitation"
13,"Bind"
14,"Heavy"
15,"Blind"
16,""
17,"Paralysis"
18,"Poison"
19,"Pollen"
20,"TP Bleed"
21,"HP Boost"
22,"HP Penalty"
23,"MP Boost"
24,"MP Penalty"
25,"Attack Up"
26,"Attack Down"
27,"Accuracy Up"
28,"Accuracy Down"
29,"Defense Up"
30,"Defense Down"
31,"Evasion Up"
32,"Evasion Down"
33,"Attack Magic Potency Up"
34,"Attack Magic Potency Down"
35,"Healing Potency Up"
36,"Healing Potency Down"
37,"Magic Defense Up"
38,"Magic Defense Down"
39,"Stun Resistance"
40,"Silence Resistance"
41,"Crafting Facility"
42,"The Echo"
43,"Weakness"
44,"Brink of Death"
45,"Crafter's Grace"
46,"Gatherer's Grace"
47,"Sneak"
48,"Well Fed"
49,"Medicated"
50,"Sprint"
51,"Strength Down"
52,"Vitality Down"
53,"Physical Damage Up"
54,"Physical Damage Down"
55,"Physical Vulnerability Down"
56,"Physical Vulnerability Up"
57,"Magic Damage Up"
58,"Magic Damage Down"
59,"Magic Vulnerability Down"
60,"Magic Vulnerability Up"
61,"Damage Up"
62,"Damage Down"
63,"Vulnerability Down"
64,"Vulnerability Up"
65,"Critical Skill"
66,"Terror"
67,"Leaden"
68,"Drainstrikes"
69,"Aspirstrikes"
70,"Stunstrikes"
71,"Rampart"
72,"Convalescence"
73,"Awareness"
74,"Sentinel"
75,"Tempered Will"
76,"Fight or Flight"
77,"Bulwark"
78,"Sword Oath"
79,"Iron Will"
80,"Cover"
81,"Covered"
82,"Hallowed Ground"
83,"Foresight"
84,"Bloodbath"
85,"Maim"
86,"Berserk"
87,"Thrill of Battle"
88,"Holmgang"
89,"Vengeance"
90,"Storm's Eye"
91,"Defiance"
92,"Unchained"
93,"Wrath"
94,"Wrath II"
95,"Wrath III"
96,"Wrath IV"
97,"Infuriated"
98,"Dragon Kick"
99,"Featherfoot"
100,"Internal Release"
101,"Twin Snakes"
102,"Mantra"
103,"Fists of Fire"
104,"Fists of Earth"
105,"Fists of Wind"
106,"Touch of Death"
107,"Opo-opo Form"
108,"Raptor Form"
109,"Coeurl Form"
110,"Perfect Balance"
111,"Greased Lightning"
112,"Greased Lightning II"
113,"Greased Lightning III"
114,"Keen Flurry"
115,"Heavy Thrust"
116,"Life Surge"
117,"Blood for Blood"
118,"Chaos Thrust"
119,"Phlebotomize"
120,"Power Surge"
121,"Disembowel"
122,"Straight Shot Ready"
123,"Hawk's Eye"
124,"Venomous Bite"
125,"Raging Strikes"
126,"Physical Vulnerability Up"
127,"Diversion"
128,"Barrage"
129,"Windbite"
130,"Straight Shot"
131,"Downpour of Death"
132,"Quicker Nock"
133,"Swiftsong"
134,"Swiftsong"
135,"Mage's Ballad"
136,"Mage's Ballad"
137,"Army's Paeon"
138,"Army's Paeon"
139,"Foe Requiem"
140,"Foe Requiem"
141,"Battle Voice"
142,"Stun"
143,"Aero"
144,"Aero II"
145,"Cleric Stance"
146,"Protect"
147,"Protect"
148,"Raise"
149,"Stun"
150,"Medica II"
151,"Stoneskin"
152,"Stoneskin (Physical)"
153,"Stoneskin (Magical)"
154,"Shroud of Saints"
155,"Freecure"
156,"Overcure"
157,"Presence of Mind"
158,"Regen"
159,"Divine Seal"
160,"Surecast"
161,"Thunder"
162,"Thunder II"
163,"Thunder III"
164,"Thundercloud"
165,"Firestarter"
166,"Succor"
167,"Swiftcast"
168,"Manaward"
169,"Manawall"
170,"Apocatastasis"
171,"Ekpyrosis"
172,"Infirmity"
173,"Astral Fire"
174,"Astral Fire II"
175,"Astral Fire III"
176,"Umbral Ice"
177,"Umbral Ice II"
178,"Umbral Ice III"
179,"Bio"
180,"Miasma"
181,"Disease"
182,"Virus"
183,"Fever"
184,"Sustain"
185,"Eye for an Eye"
186,"Eye for an Eye"
187,"Rouse"
188,"Miasma II"
189,"Bio II"
190,"Shadow Flare"
191,"Malady"
192,"Spur"
193,"Slow"
194,"Shield Wall"
195,"Stronghold"
196,"Last Bastion"
197,"Blaze Spikes"
198,"Ice Spikes"
199,"Shock Spikes"
200,"Physical Vulnerability Up"
201,"Stun"
202,"Vulnerability Up"
203,"Boost"
204,"Enfire"
205,"Enblizzard"
206,"Enaero"
207,"Enstone"
208,"Enthunder"
209,"Enwater"
210,"Doom"
211,"Sharpened Knife"
212,"True Sight"
213,"Pacification"
214,"Agitation"
215,"Damage Down"
216,"Paralysis"
217,"Triangulate"
218,"Gathering Rate Up"
219,"Gathering Yield Up"
220,"Gathering Fortune Up"
221,"Truth of Forests"
222,"Truth of Mountains"
223,"Byregot's Ward"
224,"Nophica's Ward"
225,"Prospect"
226,"Haste"
227,"Seduced"
228,"Menphina's Ward"
229,"Nald'thal's Ward"
230,"Llymlaen's Ward"
231,"Thaliak's Ward"
232,"Preparation"
233,"Arbor Call"
234,"Lay of the Land"
235,"Windburn"
236,"Choco Beak"
237,"Choco Regen"
238,"Choco Surge"
239,"The Echo"
240,"Heavy"
241,"Blessing of Light"
242,"Arbor Call II"
243,"Lay of the Land II"
244,"Fracture"
245,"Sanction"
246,"Demolish"
247,"Rain of Death"
248,"Circle of Scorn"
249,"Flaming Arrow"
250,"Burns"
251,"Inner Quiet"
252,"Waste Not"
253,"Steady Hand"
254,"Great Strides"
255,"Ingenuity"
256,"Ingenuity II"
257,"Waste Not II"
258,"Manipulation"
259,"Innovation"
260,"Reclaim"
261,"Comfort Zone"
262,"Steady Hand II"
263,"Damage Up"
264,"Flesh Wound"
265,"Stab Wound"
266,"Concussion"
267,"Burns"
268,"Frostbite"
269,"Windburn"
270,"Sludge"
271,"Electrocution"
272,"Dropsy"
273,"Bleeding"
274,"Recuperation"
275,"Poison +1"
276,"Voice of Valor"
277,"Voice of Fortitude"
278,"Relentless March"
279,"Rehabilitation"
280,"Bind"
281,"Physical Damage Down"
282,"Mana Modulation"
283,"Dropsy"
284,"Burns"
285,"Frostbite"
286,"Windburn"
287,"Sludge"
288,"Electrocution"
289,"Dropsy"
290,"Damage Up"
291,"Hundred Fists"
292,"Fetters"
293,"Skill Speed Up"
294,"Spell Speed Up"
295,"Goldbile"
296,"Hysteria"
297,"Galvanize"
298,"Sacred Soil"
299,"Sacred Soil"
300,"Damage Up"
301,"Critical Strikes"
302,"Gold Lung"
303,"Burrs"
304,"Aetherflow"
305,"The Dragon's Curse"
306,"Inner Dragon"
307,"Voice of Valor"
308,"Voice of Fortitude"
309,"Relentless March"
310,"Curl"
311,"Earthen Ward"
312,"Razed Earth"
313,"Radiant Shield"
314,"Inferno"
315,"Whispering Dawn"
316,"Fey Covenant"
317,"Fey Illumination"
318,"Fey Glow"
319,"Fey Light"
320,"Bleeding"
321,"Gungnir"
322,"Crystal Veil"
323,"Reduced Immunity"
324,"Greenwrath"
325,"Invincibility"
326,"Lightning Charge"
327,"Ice Charge"
328,"Heart of the Mountain"
329,"Modification"
330,"Haste"
331,"Magic Vulnerability Down"
332,"Damage Up"
333,"Allagan Rot"
334,"Allagan Immunity"
335,"Firestream"
336,"Sequence AB1"
337,"Sequence AP1"
338,"Sequence AS1"
339,"Bleeding"
340,"Physical Field"
341,"Aetherial Field"
342,"Repelling Spray"
343,"Bleeding"
344,"Neurolink"
345,"Recharge"
346,"Waxen Flesh"
347,"Pox"
348,"Disseminate"
349,"Steel Scales"
350,"Vulnerability Down"
351,"Rancor"
352,"Spjot"
353,"Brave New World"
354,"Live off the Land"
355,"What You See"
356,"Eat from the Hand"
357,"In Control"
358,"Snowman"
359,"Fey Fire"
360,"Meat and Mead"
361,"That Which Binds Us"
362,"Proper Care"
363,""
364,"Reduced Rates"
365,"The Heat of Battle"
366,"A Man's Best Friend"
367,"Earth and Water"
368,"Helping Hand"
369,"Viscous Aetheroplasm"
370,"Siren Song"
371,"Zombification"
372,"Brood Rage"
373,"Blight"
374,"Corrupted Crystal"
375,"Suppuration"
376,"Searing Wind"
377,"Infernal Fetters"
378,"Death Throes"
379,"Thermal Low"
380,"Thermal High"
381,"Sword Oath"
382,""
383,"Growing"
384,"Full-grown"
385,"Fool's Tightrope"
386,"Unfooled"
387,"Fool's Tumble"
388,"Fool's Figure"
389,"Skewer"
390,"Growing"
391,"Full-grown"
392,"Royal Guard"
393,"Iron Will"
394,"Invincibility"
395,"Physical Damage Down"
396,"Concentration"
397,"Safeguard"
398,"Astral Realignment"
399,"Corporeal Return"
400,"Charge"
401,"Seized"
402,"Thrown for a Loop"
403,"Damage Up"
404,"Transporting"
405,"Bewildered"
406,"Vulnerability Down"
407,"Dust Poisoning"
408,"Storm's Path"
409,"Holmgang"
410,"Antibody"
411,"Inner Beast"
412,"Hover"
413,"Mark Up"
414,"Seal Sweetener"
415,"Regain"
416,"Transparent"
417,"Protect"
418,"Transcendent"
419,"Misty Veil"
420,"Prey"
421,"Devoured"
422,"Healing Magic Down"
423,"Nightmare"
424,"Diabolic Curse"
425,"Eerie Air"
426,"Noctoshield"
427,"Slow+"
428,"Haste+"
429,"Scale Flakes"
430,"Misery"
431,"Water Resistance Down"
432,"Briny Mirror"
433,"Briny Veil"
434,"Absolute Bind"
435,"Demon Eye"
436,"Briar"
437,"Stone Curse"
438,"Minimum"
439,"Toad"
440,"Minimum"
441,"Toad"
442,"Slow"
443,"Damage Up"
444,"Vulnerability Up"
445,"Thorny Vine"
446,"Honey-glazed"
447,"Potent Acid"
448,"Swarmed"
449,"Stung"
450,"Petrification Resistance"
451,"Cursed Voice"
452,"Cursed Shriek"
