key,0,1,2
#,TerritoryIntendedUse,Resident,ContentFinderCondition
int32,TerritoryIntendedUse,uint16,ContentFinderCondition
142,"10","68","Das Drachenhals-Kolosseum"
151,"8","0","Die Welt der Dunkelheit"
159,"3","26","Palast des Wanderers"
160,"3","19","Pharos Sirius"
162,"3","30","Halatali"
163,"3","13","Versunkener Tempel von Qarn"
167,"3","7","Die Ruinen von Amdapor"
170,"3","8","Sägerschrei"
171,"3","9","Die Feste Dzemael"
172,"3","33","Goldklamm"
174,"8","21","Kristallturm - Das Labyrinth der Alten"
188,"3","81","Palast des Wanderers (schwer)"
189,"3","79","Die Ruinen von Amdapor (schwer)"
190,"3","0","Bockmanns Gefolge"
191,"3","0","Unkraut jäten"
192,"3","0","Ins Wespennest stechen"
193,"16","60","Verschlungene Schatten 3 - 1"
194,"16","61","Verschlungene Schatten 3 - 2"
195,"17","62","Verschlungene Schatten 3 - 3"
196,"17","63","Verschlungene Schatten 3 - 4"
214,"3","0","Einer für alle, alle für einen"
215,"3","0","Sturmkommando"
216,"3","0","Gil oder Leben"
219,"3","0","Bombige Goblins"
220,"3","0","Briaxio ausschalten"
221,"3","0","Tödliches Rankenspiel"
222,"3","0","Gefahr aus dem Nichts"
223,"3","0","Kampf gegen Schatten"
241,"16","0","Verschlungene Schatten 1"
242,"17","11","Verschlungene Schatten 2"
243,"16","0","Verschlungene Schatten 3"
244,"17","0","Verschlungene Schatten 4"
245,"16","15","Verschlungene Schatten 5"
281,"10","36","Götterdämmerung - Leviathan"
292,"10","5","Götterdämmerung - Ifrit"
293,"10","6","Götterdämmerung - Titan"
294,"10","10","Götterdämmerung - Garuda"
295,"10","23","Zenit der Götter - Ifrit"
296,"10","16","Zenit der Götter - Titan"
297,"10","0","Zenit der Götter - Garuda"
298,"3","0","Miss Bombastic"
299,"3","0","Unzertrennlich"
300,"3","0","Wuchtige Dreifaltigkeit"
348,"10","17","Heldenlied von Ultima"
349,"3","0","Kupferglocken-Mine (schwer)"
350,"3","0","Haukke-Herrenhaus (schwer)"
353,"10","327","Event-Inhalt 1"
354,"10","418","Event-Inhalt 2"
355,"16","39","Verschlungene Schatten 2 - 1"
356,"16","40","Verschlungene Schatten 2 - 2"
357,"16","41","Verschlungene Schatten 2 - 3"
358,"17","42","Verschlungene Schatten 2 - 4"
359,"10","37","Zenit der Götter - Leviathan"
360,"3","0","Halatali (schwer)"
361,"3","50","Schiffbrecher-Insel"
362,"3","43","Brüllvolx' Langrast (schwer)"
363,"3","38","Historisches Amdapor"
364,"10","0","Königliche Konfrontation (extrem)"
365,"3","45","Steinerne Wacht (schwer)"
366,"3","44","Duell auf der großen Brücke"
367,"3","0","Versunkener Tempel von Qarn (schwer)"
368,"10","0","Kampf gegen die Dhorme-Chimära"
369,"10","0","Kampf gegen die Hydra"
372,"8","51","Kristallturm - Der Syrcus-Turm"
373,"3","0","Totenacker Tam-Tara (schwer)"
374,"10","0","Götterdämmerung - Ramuh"
375,"10","0","Zenit der Götter - Ramuh"
376,"18","58","Äußere Ruinen (Sicherung)"
377,"10","65","Götterdämmerung - Shiva"
378,"10","66","Zenit der Götter - Shiva"
380,"16","46","Verschlungene Schatten 2 - 1 (episch)"
381,"16","47","Verschlungene Schatten 2 - 2 (episch)"
382,"16","48","Verschlungene Schatten 2 - 3 (episch)"
383,"17","49","Verschlungene Schatten 2 - 4 (episch)"
387,"3","69","Sastasha (schwer)"
394,"10","59","Jenseits Urths Quelle"
396,"3","80","Revanche in den Ruinen"
403,"29","263","Verrat der Qalyana"
420,"3","109","Nimmerreich"
426,"10","82","Chrysalis"
430,"3","92","Die Fraktal-Kontinuum"
431,"18","58","Robbenholm (Eroberung)"
432,"10","106","Götterdämmerung - Ravana"
434,"3","101","Abendrot-Wacht"
436,"10","104","Götterdämmerung - Bismarck"
437,"10","94","Singularitäts-Reaktor"
442,"16","95","Alexander - Faust des Vaters"
443,"16","102","Alexander - Elle des Vaters"
444,"16","97","Alexander - Arm des Vaters"
445,"17","99","Alexander - Last des Vaters"
446,"10","107","Zenit der Götter - Ravana"
447,"10","105","Zenit der Götter - Bismarck"
448,"10","130","Heldenlied von Thordans Fall"
449,"16","96","Alexander - Faust des Vaters (episch)"
450,"16","103","Alexander - Elle des Vaters (episch)"
451,"16","98","Alexander - Arm des Vaters (episch)"
452,"17","100","Alexander - Last des Vaters (episch)"
508,"8","0","Die Nichts-Arche"
509,"10","708","Prophetie - Asura"
510,"3","129","Pharos Sirius (schwer)"
511,"3","128","Sankt Mocianne-Arboretum"
512,"26","131","Das Diadem (leicht)"
514,"26","131","Das Diadem"
515,"26","131","Das Diadem (schwer)"
517,"10","139","Götterdämmerung - Sephirot"
519,"3","137","Historisches Amdapor (schwer)"
520,"16","132","Alexander - Faust des Sohnes"
521,"16","141","Alexander - Elle des Sohnes"
522,"16","133","Alexander - Arm des Sohnes"
523,"17","143","Alexander - Last des Sohnes"
524,"10","140","Zenit der Götter - Sephirot"
529,"16","135","Alexander - Faust des Sohnes (episch)"
530,"17","142","Alexander - Elle des Sohnes (episch)"
531,"16","136","Alexander - Arm des Sohnes (episch)"
532,"17","144","Alexander - Last des Sohnes (episch)"
533,"29","145","Truppenübung der Eorzäischen Allianz"
537,"27","0","Flächenangriffen ausweichen"
538,"27","0","Mit Kombos Feindseligkeit auf sich ziehen"
539,"27","0","Kombos im Kampf einsetzen"
540,"27","0","Feindseligkeit mehrerer Gegner auf sich ziehen"
541,"27","0","Gegen mehrere Gegner auf einmal kämpfen"
542,"27","0","Aus der Ferne Feindseligkeit auf sich ziehen"
543,"27","0","Feindliche Verstärkung aufhalten"
544,"27","0","Gegner gemeinsam besiegen"
545,"27","0","Den Gegner eines Verbündeten besiegen"
546,"27","0","Angriffen ausweichen"
