key,0,1,2
#,TerritoryIntendedUse,Resident,ContentFinderCondition
int32,TerritoryIntendedUse,uint16,ContentFinderCondition
142,"10","68","the Dragon's Neck"
151,"8","0","the World of Darkness"
159,"3","26","the Wanderer's Palace"
160,"3","19","Pharos Sirius"
167,"3","7","Amdapor Keep"
171,"3","9","Dzemael Darkhold"
172,"3","33","the Aurum Vale"
174,"8","21","the Labyrinth of the Ancients"
188,"3","81","the Wanderer's Palace (Hard)"
189,"3","79","Amdapor Keep (Hard)"
190,"3","0","Under the Armor"
191,"3","0","Pulling Poison Posies"
192,"3","0","Stinging Back"
193,"16","60","the Final Coil of Bahamut - Turn 1"
194,"16","61","the Final Coil of Bahamut - Turn 2"
195,"17","62","the Final Coil of Bahamut - Turn 3"
196,"17","63","the Final Coil of Bahamut - Turn 4"
214,"3","0","Basic Training: Enemy Parties"
215,"3","0","Basic Training: Enemy Strongholds"
216,"3","0","Hero on the Half Shell"
219,"3","0","Flicking Sticks and Taking Names"
220,"3","0","All's Well that Ends in the Well"
221,"3","0","More than a Feeler"
222,"3","0","Annoy the Void"
223,"3","0","Shadow and Claw"
241,"16","0","the Binding Coil of Bahamut - Turn 1"
242,"17","11","the Binding Coil of Bahamut - Turn 2"
243,"16","0","the Binding Coil of Bahamut - Turn 3"
244,"17","0","the Binding Coil of Bahamut - Turn 4"
245,"16","15","the Binding Coil of Bahamut - Turn 5"
281,"10","36","the <italic(1)>Whorleater<italic(0)> (Hard)"
292,"10","5","the Bowl of Embers (Hard)"
293,"10","6","the Navel (Hard)"
294,"10","10","the Howling Eye (Hard)"
295,"10","23","the Bowl of Embers (Extreme)"
296,"10","16","the Navel (Extreme)"
297,"10","0","the Howling Eye (Extreme)"
298,"3","0","Long Live the Queen"
299,"3","0","Ward Up"
300,"3","0","Solemn Trinity"
348,"10","17","the Minstrel's Ballad: Ultima's Bane"
349,"3","0","Copperbell Mines (Hard)"
350,"3","0","Haukke Manor (Hard)"
353,"10","327","Special Event I"
354,"10","418","Special Event II"
355,"16","39","the Second Coil of Bahamut - Turn 1"
356,"16","40","the Second Coil of Bahamut - Turn 2"
357,"16","41","the Second Coil of Bahamut - Turn 3"
358,"17","42","the Second Coil of Bahamut - Turn 4"
359,"10","37","the <italic(1)>Whorleater<italic(0)> (Extreme)"
360,"3","0","Halatali (Hard)"
361,"3","50","Hullbreaker Isle"
362,"3","43","Brayflox's Longstop (Hard)"
363,"3","38","the Lost City of Amdapor"
364,"10","0","Thornmarch (Extreme)"
365,"3","45","the Stone Vigil (Hard)"
366,"3","44","Battle on the Big Bridge"
367,"3","0","the Sunken Temple of Qarn (Hard)"
368,"10","0","A Relic Reborn: the Chimera"
369,"10","0","A Relic Reborn: the Hydra"
372,"8","51","Syrcus Tower"
373,"3","0","the Tam<-->Tara Deepcroft (Hard)"
374,"10","0","the Striking Tree (Hard)"
375,"10","0","the Striking Tree (Extreme)"
376,"18","58","the Borderland Ruins (Secure)"
377,"10","65","the Akh Afah Amphitheatre (Hard)"
378,"10","66","the Akh Afah Amphitheatre (Extreme)"
380,"16","46","the Second Coil of Bahamut (Savage) - Turn 1"
381,"16","47","the Second Coil of Bahamut (Savage) - Turn 2"
382,"16","48","the Second Coil of Bahamut (Savage) - Turn 3"
383,"17","49","the Second Coil of Bahamut (Savage) - Turn 4"
387,"3","69","Sastasha (Hard)"
394,"10","59","Urth's Fount"
396,"3","80","Battle in the Big Keep"
403,"29","263","Return of the Bull"
420,"3","109","Neverreap"
426,"10","82","the Chrysalis"
430,"3","92","the Fractal Continuum"
431,"18","58","Seal Rock (Seize)"
432,"10","106","Thok ast Thok (Hard)"
434,"3","101","the Dusk Vigil"
436,"10","104","the Limitless Blue (Hard)"
437,"10","94","the Singularity Reactor"
442,"16","95","Alexander - The Fist of the Father"
443,"16","102","Alexander - The Cuff of the Father"
444,"16","97","Alexander - The Arm of the Father"
445,"17","99","Alexander - The Burden of the Father"
446,"10","107","Thok ast Thok (Extreme)"
447,"10","105","the Limitless Blue (Extreme)"
448,"10","130","the Minstrel's Ballad: Thordan's Reign"
449,"16","96","Alexander - The Fist of the Father (Savage)"
450,"16","103","Alexander - The Cuff of the Father (Savage)"
451,"16","98","Alexander - The Arm of the Father (Savage)"
452,"17","100","Alexander - The Burden of the Father (Savage)"
508,"8","0","the Void Ark"
509,"10","708","the Gilded Araya"
510,"3","129","Pharos Sirius (Hard)"
511,"3","128","Saint Mocianne's Arboretum"
512,"26","131","the Diadem (Easy)"
514,"26","131","the Diadem"
515,"26","131","the Diadem (Hard)"
517,"10","139","Containment Bay S1T7"
519,"3","137","the Lost City of Amdapor (Hard)"
520,"16","132","Alexander - The Fist of the Son"
521,"16","141","Alexander - The Cuff of the Son"
522,"16","133","Alexander - The Arm of the Son"
523,"17","143","Alexander - The Burden of the Son"
524,"10","140","Containment Bay S1T7 (Extreme)"
529,"16","135","Alexander - The Fist of the Son (Savage)"
530,"17","142","Alexander - The Cuff of the Son (Savage)"
531,"16","136","Alexander - The Arm of the Son (Savage)"
532,"17","144","Alexander - The Burden of the Son (Savage)"
533,"29","145","a Spectacle for the Ages"
537,"27","0","Avoid Area of Effect Attacks"
538,"27","0","Execute a Combo to Increase Enmity"
539,"27","0","Execute a Combo in Battle"
540,"27","0","Accrue Enmity from Multiple Targets"
541,"27","0","Engage Multiple Targets"
542,"27","0","Execute a Ranged Attack to Increase Enmity"
543,"27","0","Engage Enemy Reinforcements"
544,"27","0","Assist Allies in Defeating a Target"
545,"27","0","Defeat an Occupied Target"
546,"27","0","Avoid Engaged Targets"
547,"27","0","Engage Enemy Reinforcements"
548,"27","0","Interact with the Battlefield"
549,"27","0","Heal an Ally"
550,"27","0","Heal Multiple Allies"
551,"27","0","Avoid Engaged Targets"
