key,0,1,2
#,TerritoryIntendedUse,Resident,ContentFinderCondition
int32,TerritoryIntendedUse,uint16,ContentFinderCondition
142,"10","68","아마지나배 투기대회 결승전"
151,"8","0","크리스탈 타워: 어둠의 세계"
159,"3","26","방랑자의 궁전"
160,"3","19","시리우스 대등대"
167,"3","7","옛 암다포르 성"
171,"3","9","제멜 요새"
172,"3","33","금빛 골짜기"
174,"8","21","크리스탈 타워: 고대인의 미궁"
188,"3","81","방랑자의 궁전(어려움)"
189,"3","79","옛 암다포르 성(어려움)"
190,"3","0","방황하는 사령을 쓰러뜨려라!"
191,"3","0","독성 요괴꽃을 제거하라!"
192,"3","0","무법자 집단 '나나니단'을 섬멸하라!"
193,"16","60","대미궁 바하무트: 진성편 1"
194,"16","61","대미궁 바하무트: 진성편 2"
195,"17","62","대미궁 바하무트: 진성편 3"
196,"17","63","대미궁 바하무트: 진성편 4"
214,"3","0","집단전 훈련을 완수하라!"
215,"3","0","관문을 돌파하고 최심부의 적을 쓰러뜨려라!"
216,"3","0","길거북을 사로잡아라!"
219,"3","0","폭탄광 고블린 군단을 섬멸하라!"
220,"3","0","몽환의 브라크시오를 쓰러뜨려라!"
221,"3","0","오염원 몰볼을 쓰러뜨려라!"
222,"3","0","갱도에 나타난 요마 부소를 쓰러뜨려라!"
223,"3","0","무적의 부하를 조종하는 요마를 쓰러뜨려라!"
241,"16","0","대미궁 바하무트: 해후편 1"
242,"17","11","대미궁 바하무트: 해후편 2"
243,"16","0","대미궁 바하무트: 해후편 3"
244,"17","0","대미궁 바하무트: 해후편 4"
245,"16","15","대미궁 바하무트: 해후편 5"
281,"10","36","진 리바이어선 토벌전"
292,"10","5","진 이프리트 토벌전"
293,"10","6","진 타이탄 토벌전"
294,"10","10","진 가루다 토벌전"
295,"10","23","극 이프리트 토벌전"
296,"10","16","극 타이탄 토벌전"
297,"10","0","극 가루다 토벌전"
298,"3","0","봄을 거느린 '봄 여왕'을 쓰러뜨려라!"
299,"3","0","불길한 진형을 짜는 요마를 섬멸하라!"
300,"3","0","세 거인족을 제압하여 유물을 지켜내라!"
348,"10","17","궁극의 환상 알테마 웨폰 파괴작전"
349,"3","0","구리종 광산(어려움)"
350,"3","0","하우케타 별궁(어려움)"
353,"10","327","이벤트용 임무: 1"
354,"10","418","이벤트용 임무: 2"
355,"16","39","대미궁 바하무트: 침공편 1"
356,"16","40","대미궁 바하무트: 침공편 2"
357,"16","41","대미궁 바하무트: 침공편 3"
358,"17","42","대미궁 바하무트: 침공편 4"
359,"10","37","극 리바이어선 토벌전"
360,"3","0","할라탈리 수련장(어려움)"
361,"3","50","난파선의 섬"
362,"3","43","브레이플록스의 야영지(어려움)"
363,"3","38","옛 암다포르 시가지"
364,"10","0","극왕 모그루 모그 XII세 토벌전"
365,"3","45","돌방패 경계초소(어려움)"
366,"3","44","길가메시 토벌전"
367,"3","0","카른의 무너진 사원(어려움)"
368,"10","0","도름 키마이라 토벌전"
369,"10","0","하이드라 토벌전"
372,"8","51","크리스탈 타워: 시르쿠스 탑"
373,"3","0","탐타라 묘소(어려움)"
374,"10","0","진 라무 토벌전"
375,"10","0","극 라무 토벌전"
376,"18","58","외곽 유적지대(제압전)"
377,"10","65","진 시바 토벌전"
378,"10","66","극 시바 토벌전"
380,"16","46","대미궁 바하무트: 침공편(영웅) 1"
381,"16","47","대미궁 바하무트: 침공편(영웅) 2"
382,"16","48","대미궁 바하무트: 침공편(영웅) 3"
383,"17","49","대미궁 바하무트: 침공편(영웅) 4"
387,"3","69","사스타샤 침식 동굴(어려움)"
394,"10","59","투신 오딘 토벌전"
396,"3","80","진 길가메시 토벌전"
403,"29","263","영웅의 귀환"
420,"3","109","거두지 않는 섬"
426,"10","82","아씨엔 나브리알레스 토벌전"
430,"3","92","무한연속 박물함"
431,"18","58","봉인된 바위섬(쟁탈전)"
432,"10","106","진 라바나 토벌전"
436,"10","104","진 비스마르크 토벌전"
437,"10","94","나이츠 오브 라운드 토벌전"
442,"16","95","기공성 알렉산더: 기동편 1"
443,"16","102","기공성 알렉산더: 기동편 2"
444,"16","97","기공성 알렉산더: 기동편 3"
445,"17","99","기공성 알렉산더: 기동편 4"
446,"10","107","극 라바나 토벌전"
447,"10","105","극 비스마르크 토벌전"
448,"10","130","극 나이츠 오브 라운드 토벌전"
449,"16","96","기공성 알렉산더: 기동편(영웅) 1"
450,"16","103","기공성 알렉산더: 기동편(영웅) 2"
451,"16","98","기공성 알렉산더: 기동편(영웅) 3"
452,"17","100","기공성 알렉산더: 기동편(영웅) 4"
508,"8","0","보이드의 방주"
509,"10","708","아수라 토벌전"
510,"3","129","시리우스 대등대(어려움)"
511,"3","128","성 모샨 식물원"
512,"26","131","디아뎀 제도(쉬움)"
514,"26","131","디아뎀 제도"
515,"26","131","디아뎀 제도(어려움)"
517,"10","139","마신 세피로트 토벌전"
519,"3","137","옛 암다포르 시가지(어려움)"
520,"16","132","기공성 알렉산더: 율동편 1"
521,"16","141","기공성 알렉산더: 율동편 2"
522,"16","133","기공성 알렉산더: 율동편 3"
523,"17","143","기공성 알렉산더: 율동편 4"
524,"10","140","극 마신 세피로트 토벌전"
529,"16","135","기공성 알렉산더: 율동편(영웅) 1"
530,"17","142","기공성 알렉산더: 율동편(영웅) 2"
531,"16","136","기공성 알렉산더: 율동편(영웅) 3"
532,"17","144","기공성 알렉산더: 율동편(영웅) 4"
533,"29","145","4개국 합동 훈련"
537,"27","0","범위 공격을 피하자!"
538,"27","0","콤보를 이어 적개심을 끌자!"
539,"27","0","실전에서 콤보를 사용해보자!"
540,"27","0","다수의 적에게서 적개심을 끌자!"
541,"27","0","실전에서 다수의 적과 싸워보자!"
542,"27","0","멀리서 적개심을 끌자!"
543,"27","0","적 지원군에 대처하자!"
