key,0,1,2
#,TerritoryIntendedUse,Resident,ContentFinderCondition
int32,TerritoryIntendedUse,uint16,ContentFinderCondition
142,"10","68","艾玛吉娜杯斗技大会决赛"
151,"8","0","水晶塔 暗之世界"
159,"3","26","神灵圣域放浪神古神殿"
160,"3","19","领航明灯天狼星灯塔"
167,"3","7","邪教驻地无限城古堡"
171,"3","9","山中战线泽梅尔要塞"
172,"3","33","毒雾洞窟黄金谷"
174,"8","21","水晶塔 古代人迷宫"
188,"3","81","武装圣域放浪神古神殿"
189,"3","79","邪念妖地无限城古堡"
190,"3","0","讨伐彷徨死灵！"
191,"3","0","驱除剧毒妖花！"
192,"3","0","消灭恶徒团伙寄生蜂团！"
193,"16","60","巴哈姆特大迷宫 真源之章1"
194,"16","61","巴哈姆特大迷宫 真源之章2"
195,"17","62","巴哈姆特大迷宫 真源之章3"
196,"17","63","巴哈姆特大迷宫 真源之章4"
214,"3","0","完成集团战训练！"
215,"3","0","突破所有关门，讨伐最深处的敌人！"
216,"3","0","捕获金币龟！"
219,"3","0","击溃哥布林炸弹军团！"
220,"3","0","讨伐梦幻之布拉奇希奥！"
221,"3","0","讨伐污染源头魔界花！"
222,"3","0","讨伐坑道中出现的妖异！"
223,"3","0","注意无敌的眷属，讨伐大型妖异！"
241,"16","0","巴哈姆特大迷宫 邂逅之章1"
242,"17","11","巴哈姆特大迷宫 邂逅之章2"
243,"16","0","巴哈姆特大迷宫 邂逅之章3"
244,"17","0","巴哈姆特大迷宫 邂逅之章4"
245,"16","15","巴哈姆特大迷宫 邂逅之章5"
281,"10","36","利维亚桑歼灭战"
292,"10","5","伊弗利特歼灭战"
293,"10","6","泰坦歼灭战"
294,"10","10","迦楼罗歼灭战"
295,"10","23","伊弗利特歼殛战"
296,"10","16","泰坦歼殛战"
297,"10","0","迦楼罗歼殛战"
298,"3","0","讨伐爆弹怪的女王！"
299,"3","0","歼灭特殊阵型的妖异！"
300,"3","0","制止三方混战的巨人族，守住遗物！"
348,"10","17","究极神兵假想作战"
349,"3","0","骚乱坑道铜铃铜山"
350,"3","0","恶灵府邸静语庄园"
353,"10","327","活动挑战2"
354,"10","418","活动挑战3"
355,"16","39","巴哈姆特大迷宫 入侵之章1"
356,"16","40","巴哈姆特大迷宫 入侵之章2"
357,"16","41","巴哈姆特大迷宫 入侵之章3"
358,"17","42","巴哈姆特大迷宫 入侵之章4"
359,"10","37","利维亚桑歼殛战"
360,"3","0","剑斗领域日影地修炼所"
361,"3","50","财宝传说破舰岛"
362,"3","43","纷争要地布雷福洛克斯野营地"
363,"3","38","腐坏遗迹无限城市街古迹"
364,"10","0","莫古力贤王歼殛战"
365,"3","45","激战城塞石卫塔"
366,"3","44","大桥上的决斗"
367,"3","0","苏醒遗迹喀恩埋没圣堂"
368,"10","0","死化奇美拉讨伐战"
369,"10","0","海德拉讨伐战"
372,"8","51","水晶塔 希尔科斯塔"
373,"3","0","惨剧灵殿塔姆·塔拉墓园"
374,"10","0","拉姆歼灭战"
375,"10","0","拉姆歼殛战"
376,"18","58","周边遗迹群（阵地战）"
377,"10","65","希瓦歼灭战"
378,"10","66","希瓦歼殛战"
380,"16","46","巴哈姆特零式大迷宫 入侵之章1"
381,"16","47","巴哈姆特零式大迷宫 入侵之章2"
382,"16","48","巴哈姆特零式大迷宫 入侵之章3"
383,"17","49","巴哈姆特零式大迷宫 入侵之章4"
387,"3","69","逆转要害沙斯塔夏溶洞"
394,"10","59","奥丁歼灭战"
396,"3","80","无限城的死斗"
403,"29","263","英雄归来"
420,"3","109","空中神域不获岛"
426,"10","82","那布里亚勒斯讨伐战"
430,"3","92","博物战舰无限回廊"
431,"18","58","尘封秘岩（争夺战）"
432,"10","106","罗波那歼灭战"
436,"10","104","俾斯麦歼灭战"
437,"10","94","圆桌骑士歼灭战"
442,"16","95","亚历山大机神城 启动之章1"
443,"16","102","亚历山大机神城 启动之章2"
444,"16","97","亚历山大机神城 启动之章3"
445,"17","99","亚历山大机神城 启动之章4"
446,"10","107","罗波那歼殛战"
447,"10","105","俾斯麦歼殛战"
448,"10","130","圆桌骑士幻想歼灭战"
449,"16","96","亚历山大零式机神城 启动之章1"
450,"16","103","亚历山大零式机神城 启动之章2"
451,"16","98","亚历山大零式机神城 启动之章3"
452,"17","100","亚历山大零式机神城 启动之章4"
508,"8","0","魔航船虚无方舟"
509,"10","708","阿修罗歼灭战"
510,"3","129","地脉灵灯天狼星灯塔"
511,"3","128","草木庭园圣茉夏娜植物园"
512,"26","131","云冠群岛白昼探索"
514,"26","131","云冠群岛黄昏探索"
515,"26","131","云冠群岛夜晚探索"
517,"10","139","萨菲洛特歼灭战"
519,"3","137","神圣遗迹无限城市街古迹"
520,"16","132","亚历山大机神城 律动之章1"
521,"16","141","亚历山大机神城 律动之章2"
522,"16","133","亚历山大机神城 律动之章3"
523,"17","143","亚历山大机神城 律动之章4"
524,"10","140","萨菲洛特歼殛战"
529,"16","135","亚历山大零式机神城 律动之章1"
530,"17","142","亚历山大零式机神城 律动之章2"
531,"16","136","亚历山大零式机神城 律动之章3"
532,"17","144","亚历山大零式机神城 律动之章4"
533,"29","145","四国联合军演"
537,"27","0","躲避范围攻击"
538,"27","0","掌握仇恨连击"
539,"27","0","控制敌人的仇恨"
540,"27","0","控制多个敌人的仇恨"
541,"27","0","实战控制多个敌人的仇恨"
542,"27","0","控制远处敌人的仇恨"
543,"27","0","留心增援的敌人"
544,"27","0","配合防护职业打倒单个敌人"
545,"27","0","配合防护职业打倒多个敌人"
546,"27","0","躲避范围攻击的同时进行战斗"
547,"27","0","打倒增援的敌人"
548,"27","0","灵活运用场地机关"
549,"27","0","治疗防护职业"
550,"27","0","治疗小队队员"
551,"27","0","躲避范围攻击的同时进行战斗"
552,"27","0","最终训练"
