key,0,1,2
#,TerritoryIntendedUse,Resident,ContentFinderCondition
int32,TerritoryIntendedUse,uint16,ContentFinderCondition
142,"10","68","艾瑪姬娜杯鬥技大會決賽"
151,"8","0","水晶塔 暗之世界"
159,"3","26","神靈聖域放浪神古神殿"
160,"3","19","領航明燈天狼星燈塔"
167,"3","7","邪教駐地無限城古堡"
170,"3","8","流沙迷宮樵鳴洞"
171,"3","9","山中戰線澤梅爾要塞"
172,"3","33","毒霧洞窟黃金谷"
174,"8","21","水晶塔 古代人迷宮"
188,"3","81","武裝聖域放浪神古神殿"
189,"3","79","邪念妖地無限城古堡"
190,"3","0","討伐彷徨死靈！"
191,"3","0","驅除劇毒妖花！"
192,"3","0","消滅惡徒團夥寄生蜂團！"
193,"16","60","巴哈姆特大迷宮 真源之章1"
194,"16","61","巴哈姆特大迷宮 真源之章2"
195,"17","62","巴哈姆特大迷宮 真源之章3"
196,"17","63","巴哈姆特大迷宮 真源之章4"
214,"3","0","完成集團戰訓練！"
215,"3","0","突破所有關門，討伐最深處的敵人！"
216,"3","0","捕獲金幣龜！"
219,"3","0","擊潰哥布林炸彈軍團！"
220,"3","0","討伐夢幻之布拉奇希奧！"
221,"3","0","討伐污染源頭毛爾波爾！"
222,"3","0","討伐坑道中出現的妖異！"
223,"3","0","注意無敵的眷屬，討伐大型妖異！"
241,"16","0","巴哈姆特大迷宮 邂逅之章1"
242,"17","11","巴哈姆特大迷宮 邂逅之章2"
243,"16","0","巴哈姆特大迷宮 邂逅之章3"
244,"17","0","巴哈姆特大迷宮 邂逅之章4"
245,"16","15","巴哈姆特大迷宮 邂逅之章5"
281,"10","36","真 利維坦殲滅戰"
292,"10","5","真 伊弗利特殲滅戰"
293,"10","6","真 泰坦殲滅戰"
294,"10","10","真 迦樓羅殲滅戰"
295,"10","23","極 伊弗利特殲滅戰"
296,"10","16","極 泰坦殲滅戰"
297,"10","0","極 迦樓羅殲滅戰"
298,"3","0","討伐炸彈的女王！"
299,"3","0","殲滅特殊陣型的妖異！"
300,"3","0","制止三方混戰的巨人族，守住遺物！"
348,"10","17","究極幻想 究極武器破壞作戰"
349,"3","0","騷亂坑道銅鈴銅山"
350,"3","0","惡靈府邸靜語莊園"
353,"10","327","活動挑戰2"
354,"10","418","活動挑戰3"
355,"16","39","巴哈姆特大迷宮 入侵之章1"
356,"16","40","巴哈姆特大迷宮 入侵之章2"
357,"16","41","巴哈姆特大迷宮 入侵之章3"
358,"17","42","巴哈姆特大迷宮 入侵之章4"
359,"10","37","極 利維坦殲滅戰"
360,"3","0","劍鬥領域日影地修練所"
361,"3","50","財寶傳說破艦島"
362,"3","43","紛爭要地布雷福洛克斯野營地"
363,"3","38","腐壞遺跡無限城市街古跡"
364,"10","0","極王莫古爾·莫古XII世殲滅戰"
365,"3","45","激戰城塞石衛塔"
366,"3","44","吉爾伽美什殲滅戰"
367,"3","0","甦醒遺跡喀恩埋沒聖堂"
368,"10","0","死化奇美拉討伐戰"
369,"10","0","海德拉討伐戰"
372,"8","51","水晶塔 希爾科斯塔"
373,"3","0","慘劇靈殿塔姆·塔拉墓園"
374,"10","0","真 拉姆殲滅戰"
375,"10","0","極 拉姆殲滅戰"
376,"18","58","周邊遺跡群（陣地戰）"
377,"10","65","真 濕婆殲滅戰"
378,"10","66","極 濕婆殲滅戰"
380,"16","46","巴哈姆特零式大迷宮 入侵之章1"
381,"16","47","巴哈姆特零式大迷宮 入侵之章2"
382,"16","48","巴哈姆特零式大迷宮 入侵之章3"
383,"17","49","巴哈姆特零式大迷宮 入侵之章4"
387,"3","69","逆轉要害沙斯塔夏溶洞"
394,"10","59","奧汀殲滅戰"
396,"3","80","真 吉爾伽美什殲滅戰"
403,"29","263","英雄歸來"
420,"3","109","空中神域不獲島"
426,"10","82","那布里亞勒斯討伐戰"
430,"3","92","博物戰艦無限回廊"
431,"18","58","塵封秘岩（爭奪戰）"
432,"10","106","真 羅波那殲滅戰"
434,"3","101","冰雪廢堡暮衛塔"
436,"10","104","真 俾斯麥殲滅戰"
437,"10","94","圓桌騎士殲滅戰"
442,"16","95","亞歷山大機神城 啟動之章1"
443,"16","102","亞歷山大機神城 啟動之章2"
444,"16","97","亞歷山大機神城 啟動之章3"
445,"17","99","亞歷山大機神城 啟動之章4"
446,"10","107","極 羅波那殲滅戰"
447,"10","105","極 俾斯麥殲滅戰"
448,"10","130","蒼天幻想 圓桌騎士殲滅戰"
449,"16","96","亞歷山大零式機神城 啟動之章1"
450,"16","103","亞歷山大零式機神城 啟動之章2"
451,"16","98","亞歷山大零式機神城 啟動之章3"
452,"17","100","亞歷山大零式機神城 啟動之章4"
508,"8","0","魔航船虛無方舟"
509,"10","708","阿修羅殲滅戰"
510,"3","129","地脈靈燈天狼星燈塔"
511,"3","128","草木庭園聖茉夏娜植物園"
512,"26","131","雲冠群島白晝探索"
514,"26","131","雲冠群島黃昏探索"
515,"26","131","雲冠群島夜晚探索"
517,"10","139","魔神賽菲羅特殲滅戰"
519,"3","137","神聖遺跡無限城市街古跡"
520,"16","132","亞歷山大機神城 律動之章1"
521,"16","141","亞歷山大機神城 律動之章2"
522,"16","133","亞歷山大機神城 律動之章3"
523,"17","143","亞歷山大機神城 律動之章4"
524,"10","140","極 魔神賽菲羅特殲滅戰"
529,"16","135","亞歷山大零式機神城 律動之章1"
530,"17","142","亞歷山大零式機神城 律動之章2"
531,"16","136","亞歷山大零式機神城 律動之章3"
532,"17","144","亞歷山大零式機神城 律動之章4"
533,"29","145","四國聯合軍演"
537,"27","0","躲避範圍攻擊"
538,"27","0","掌握仇恨連擊"
539,"27","0","控制敵人的仇恨"
540,"27","0","控制多個敵人的仇恨"
541,"27","0","實戰控制多個敵人的仇恨"
542,"27","0","控制遠處敵人的仇恨"
